epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.12,1.08083,2.21636,1.43143,0.44187,0.50817,0.4209,0.25832,1.31931,2.17322,1.79812,0.00041369,0.00041369,0.00041369
2,216.057,1.11757,1.67802,1.43623,0.83671,0.27124,0.34374,0.1765,1.61974,2.1531,2.25711,0.000826247,0.000826247,0.000826247
3,240.992,1.1347,1.51735,1.45641,0.50809,0.46434,0.49535,0.30562,1.41398,1.70713,1.86438,0.00123468,0.00123468,0.00123468
4,265.262,1.12071,1.37398,1.44457,0.6076,0.56037,0.58447,0.34724,1.36795,1.55032,1.77155,0.00123144,0.00123144,0.00123144
5,289.557,1.10504,1.28974,1.42983,0.48194,0.59032,0.58326,0.36673,1.30815,1.44074,1.77814,0.00122525,0.00122525,0.00122525
6,313.986,1.05417,1.19188,1.39583,0.6247,0.61854,0.63205,0.38957,1.22569,1.47867,1.68189,0.00121906,0.00121906,0.00121906
7,338.478,1.03237,1.12078,1.38066,0.70908,0.59937,0.69241,0.43298,1.20313,1.23563,1.67725,0.00121287,0.00121287,0.00121287
8,362.784,1.01749,1.08014,1.36523,0.61722,0.65866,0.6289,0.41673,1.18555,1.25409,1.62946,0.00120669,0.00120669,0.00120669
9,387.307,1.00719,1.04875,1.35527,0.67296,0.54495,0.62045,0.40887,1.19829,1.29937,1.63379,0.0012005,0.0012005,0.0012005
10,411.564,1.00724,1.03217,1.35797,0.73078,0.65231,0.73713,0.48721,1.15899,1.03048,1.61442,0.00119431,0.00119431,0.00119431
11,436.037,0.99902,1.00428,1.34192,0.64607,0.68406,0.7172,0.47768,1.14236,1.03563,1.59135,0.00118812,0.00118812,0.00118812
12,460.405,0.97559,0.98405,1.33682,0.69946,0.73148,0.75882,0.50481,1.10457,0.98588,1.52746,0.00118194,0.00118194,0.00118194
13,485.05,0.97213,0.9415,1.32667,0.70203,0.69023,0.72731,0.47118,1.20977,1.04439,1.68724,0.00117575,0.00117575,0.00117575
14,509.477,0.95487,0.92593,1.30988,0.71307,0.71917,0.74709,0.50006,1.06419,1.00398,1.51997,0.00116956,0.00116956,0.00116956
15,533.933,0.95419,0.92034,1.31758,0.80663,0.66706,0.77764,0.53559,1.0984,0.93838,1.54737,0.00116337,0.00116337,0.00116337
16,558.318,0.93355,0.90172,1.29795,0.72888,0.71737,0.77408,0.51863,1.0821,0.94344,1.51784,0.00115719,0.00115719,0.00115719
17,582.817,0.93403,0.88537,1.29845,0.70285,0.72263,0.74506,0.4789,1.12052,1.03588,1.54156,0.001151,0.001151,0.001151
18,607.21,0.92829,0.87235,1.29207,0.70612,0.68336,0.75365,0.51376,1.09013,1.01822,1.49516,0.00114481,0.00114481,0.00114481
19,631.667,0.90727,0.86234,1.28511,0.69218,0.73562,0.75467,0.51976,1.06651,1.02761,1.50568,0.00113863,0.00113863,0.00113863
20,656.112,0.92143,0.85551,1.28643,0.70501,0.75706,0.79439,0.54082,1.07127,0.96494,1.51936,0.00113244,0.00113244,0.00113244
21,680.548,0.90241,0.84313,1.274,0.77692,0.74096,0.81228,0.52671,1.07994,0.89968,1.51393,0.00112625,0.00112625,0.00112625
